case_id,sample_id,t,cohort,baseline_status,unet_parent_candidates,unet_daughter_1_candidates,unet_daughter_2_candidates,parent_distance_um,daughter_1_distance_um,daughter_2_distance_um,parent_frame_peak_count,daughter_frame_peak_count,distinct_daughter_pair,complete_triplet,det_threshold,pool_kernel_um,tta,graph_mutated,edges_inferred,source_detector,source_link_strategy,v19_parent_frame_count,v19_daughter_frame_count,parent_frame_peak_ratio,daughter_frame_peak_ratio
DEV-44b6_5f15d135-t36-p125000000011,44b6_5f15d135,36,baseline_unavailable,no_parent_detection_within_7um,2,2,1,2.4375,0.9084026158592896,1.284675299443404,277,289,True,True,0.97,3.0,xy_d4_8_view,False,False,local_maxima,motion_mutual,475,480,0.5831578947368421,0.6020833333333333
DEV-44b6_706092f0-t49-p446000000015,44b6_706092f0,49,baseline_unavailable,no_parent_detection_within_7um,1,1,1,0.40625,,,338,337,False,False,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,602,581,0.5614617940199336,0.5800344234079173
DEV-44b6_74d0c52e-t58-p296000000021,44b6_74d0c52e,58,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,2,1,2.632800908728193,1.1490485194281397,0.40625,112,104,True,True,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,268,254,0.417910447761194,0.4094488188976378
DEV-44b6_aaf8b0ea-t61-p390000000000,44b6_aaf8b0ea,61,baseline_unavailable,no_pair_inside_14um_formation_radius,1,1,1,1.1490485194281397,,,184,178,False,False,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,397,418,0.4634760705289673,0.4258373205741627
DEV-44b6_c50204e0-t28-p171000000043,44b6_c50204e0,28,baseline_nonofficial_action,projected_actions_not_official_tp,1,0,1,1.7235727791422095,,,505,529,False,False,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,678,651,0.7448377581120944,0.8125960061443932
DEV-44b6_c50204e0-t65-p208000000033,44b6_c50204e0,65,baseline_nonofficial_action,projected_actions_not_official_tp,1,1,1,0.8125,3.494694639736067,3.5648292823780494,573,579,True,True,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,842,844,0.6805225653206651,0.6860189573459715
DEV-6bba_2312ac41-t10-p11000190,6bba_2312ac41,10,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,2,1,2,3.494694639736067,3.374565944310468,1.284675299443404,216,212,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,181,183,1.1933701657458564,1.1584699453551912
DEV-6bba_2312ac41-t19-p20000316,6bba_2312ac41,19,baseline_unavailable,no_parent_detection_within_7um,1,2,1,3.447145558284419,3.5648292823780494,1.86167137607581,183,182,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,124,138,1.4758064516129032,1.318840579710145
DEV-6bba_2819ca14-t61-p62000719,6bba_2819ca14,61,positive_control,official_positive,1,1,1,2.2980970388562794,1.7235727791422095,2.03125,53,58,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,55,55,0.9636363636363636,1.0545454545454545
DEV-6bba_3abfe10a-t81-p82001296,6bba_3abfe10a,81,baseline_unavailable,no_parent_detection_within_7um,1,1,1,5.025034981221523,3.6336104634371584,1.86167137607581,777,760,True,True,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,585,591,1.3282051282051281,1.2859560067681894
